
 ** NVTX Range Summary (nvtx_sum):

+----------+-----------------+-----------+-----------+-----------+----------+----------+-------------+----------+------------------------------------------------------------------------------------------------------+
| Time (%) | Total Time (ns) | Instances | Avg (ns)  | Med (ns)  | Min (ns) | Max (ns) | StdDev (ns) |  Style   |                                                Range                                                 |
|      0.9 |        10349707 |       300 |   34499.0 |   16927.0 |    13736 |   124614 |     28590.7 | PushPop  | TensorRT:{ForeignNode[transformer.layer.5.ffn.lin2.bias + ONNXTRT_Broadcast_551.../transformer/laye… |
|      0.8 |         8602878 |       300 |   28676.3 |   26890.5 |    12073 |    67617 |      5437.5 | PushPop  | TensorRT:/transformer/layer.0/attention/Softmax                                                      |
|      0.8 |         8274942 |       300 |   27583.1 |    6707.5 |     6091 |   116829 |     36355.8 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to /transformer/layer.3/attention/Transpose_3 + /… |
|      0.7 |         7902529 |       300 |   26341.8 |    6777.5 |     5791 |   141866 |     35449.9 | PushPop  | TensorRT:/transformer/layer.4/attention/v_lin/MatMul + /transformer/layer.4/attention/v_lin/Add || … |
|      0.7 |         7870768 |       300 |   26235.9 |   22888.0 |    20138 |   165731 |     13770.0 | PushPop  | TensorRT:{ForeignNode[/transformer/layer.1/attention/Cast.../transformer/layer.0/output_layer_norm/… |
|      0.7 |         7604858 |       300 |   25349.5 |   22733.0 |    20097 |   208470 |     12586.9 | PushPop  | TensorRT:{ForeignNode[/transformer/layer.2/attention/Cast.../transformer/layer.1/output_layer_norm/… |
|      0.7 |         7443504 |       300 |   24811.7 |   22888.0 |    19958 |    84579 |      6121.1 | PushPop  | TensorRT:{ForeignNode[/transformer/layer.5/attention/Cast.../transformer/layer.4/output_layer_norm/… |
|      0.7 |         7396410 |       300 |   24654.7 |    4924.0 |     4127 |   121257 |     36316.3 | PushPop  | myelin-exec:__myl_AddAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl55_0                                    |
|      0.7 |         7235318 |       300 |   24117.7 |    5931.5 |     5420 |   113663 |     33883.5 | PushPop  | TensorRT:/transformer/layer.0/attention/Transpose_3 + /transformer/layer.0/attention/Reshape_3 + re… |
|      0.6 |         7001219 |       300 |   23337.4 |    6287.0 |     5730 |   119995 |     30118.4 | PushPop  | TensorRT:reshape_after_/transformer/layer.1/attention/v_lin/MatMul + /transformer/layer.1/attention… |
|      0.6 |         6334845 |       300 |   21116.2 |   18179.0 |    15408 |   162845 |     13954.3 | PushPop  | TensorRT:{ForeignNode[transformer.layer.0.attention.out_lin.bias + ONNXTRT_Broadcast_77.../transfor… |
|      0.5 |         6007767 |       300 |   20025.9 |    6737.5 |     5992 |  3017282 |    174130.4 | PushPop  | TensorRT:Reformatting CopyNode for Output Tensor 0 to {ForeignNode[transformer.layer.5.ffn.lin2.bia… |
|      0.5 |         5776669 |       300 |   19255.6 |    7434.0 |     6993 |  3444063 |    198396.6 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.0/attention/… |
|      0.5 |         5721338 |       300 |   19071.1 |   17092.0 |    14608 |   132448 |      9229.8 | PushPop  | TensorRT:{ForeignNode[transformer.layer.3.attention.out_lin.bias + ONNXTRT_Broadcast_347.../transfo… |
|      0.5 |         5632291 |       300 |   18774.3 |    6472.0 |     5561 |   140494 |     22082.2 | PushPop  | TensorRT:/transformer/layer.2/attention/MatMul                                                       |
|      0.5 |         5587927 |        13 |  429840.5 |  405740.0 |   272109 |   802674 |    150457.7 | StartEnd | myelin-exec:myelinGraphLoadPersistent                                                                |
|      0.5 |         5525630 |       300 |   18418.8 |   16851.5 |    14637 |   111358 |      6804.0 | PushPop  | TensorRT:{ForeignNode[transformer.layer.2.attention.out_lin.bias + ONNXTRT_Broadcast_257.../transfo… |
|      0.5 |         5450721 |       300 |   18169.1 |   16891.0 |    14437 |    88586 |      5204.0 | PushPop  | TensorRT:{ForeignNode[transformer.layer.5.attention.out_lin.bias + ONNXTRT_Broadcast_527.../transfo… |
|      0.5 |         5053650 |       300 |   16845.5 |    6352.0 |     5991 |  3049393 |    175673.3 | PushPop  | TensorRT:reshape_after_/transformer/layer.0/attention/v_lin/MatMul + /transformer/layer.0/attention… |
|      0.4 |         4854772 |       300 |   16182.6 |   13896.0 |     5441 |   194645 |     15697.9 | PushPop  | TensorRT:/transformer/layer.4/attention/Transpose_3 + /transformer/layer.4/attention/Reshape_3 + re… |
|      0.4 |         4798866 |       300 |   15996.2 |   14958.0 |     5891 |   114765 |      6408.3 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.1/attention/… |
|      0.4 |         4640423 |       300 |   15468.1 |   13881.0 |     5009 |   135734 |      9216.8 | PushPop  | TensorRT:reshape_after_/transformer/layer.5/attention/q_lin/MatMul + /transformer/layer.5/attention… |
|      0.4 |         4519345 |       300 |   15064.5 |   14241.5 |    12583 |    66875 |      4751.7 | PushPop  | myelin-exec:__myl_Move_myl0_0                                                                        |
|      0.4 |         4510364 |       300 |   15034.5 |    6377.0 |     5620 |   123832 |     18994.7 | PushPop  | TensorRT:/transformer/layer.5/attention/MatMul                                                       |
|      0.4 |         4503248 |       300 |   15010.8 |   14166.5 |     5300 |    53370 |      4612.7 | PushPop  | TensorRT:/transformer/layer.1/attention/out_lin/MatMul                                               |
|      0.4 |         4475016 |       300 |   14916.7 |   13916.0 |     5040 |    89808 |      6090.9 | PushPop  | TensorRT:/transformer/layer.5/ffn/lin1/MatMul + /transformer/layer.5/ffn/lin1/Add                    |
|      0.4 |         4181764 |       300 |   13939.2 |    4268.0 |     3908 |   154066 |     24207.8 | PushPop  | TensorRT:PWN(/transformer/layer.5/attention/Mul_1)                                                   |
|      0.4 |         4144747 |       300 |   13815.8 |   13100.0 |     4599 |    64931 |      4210.0 | PushPop  | TensorRT:PWN(/transformer/layer.2/attention/Mul)                                                     |
|      0.4 |         4116436 |       300 |   13721.5 |   12714.0 |     4438 |   153909 |      8524.6 | PushPop  | TensorRT:PWN(PWN(PWN(PWN(PWN(PWN(PWN(PWN(/transformer/layer.2/ffn/activation/Constant_1_output_0 + … |
|      0.4 |         4042607 |       300 |   13475.4 |   12709.0 |     4288 |    49203 |      3433.8 | PushPop  | TensorRT:PWN(/transformer/layer.3/attention/Add)                                                     |
|      0.4 |         3983979 |       300 |   13279.9 |    5345.0 |     4909 |   112641 |     15714.7 | PushPop  | TensorRT:reshape_after_/transformer/layer.1/attention/q_lin/MatMul + /transformer/layer.1/attention… |
|      0.4 |         3980448 |       300 |   13268.2 |   11832.5 |     3136 |   104856 |      8002.9 | PushPop  | myelin-exec:__myl_AddAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl136_2                                   |
|      0.3 |         3797165 |      3900 |     973.6 |     711.0 |      411 |    81393 |      2476.2 | StartEnd | myelin-exec:myelinGraphUnload                                                                        |
|      0.3 |         3593496 |      3900 |     921.4 |     581.0 |      330 |   254632 |      5537.9 | StartEnd | myelin-exec:myelinGraphLoad                                                                          |
|      0.3 |         3464955 |       300 |   11549.9 |    6187.0 |     5550 |   122199 |     17700.0 | PushPop  | TensorRT:reshape_after_/transformer/layer.4/attention/v_lin/MatMul + /transformer/layer.4/attention… |
|      0.3 |         3203174 |       300 |   10677.2 |    6156.5 |     5320 |   107271 |     14487.7 | PushPop  | TensorRT:/transformer/layer.0/attention/out_lin/MatMul                                               |
|      0.3 |         3089042 |       300 |   10296.8 |    5846.0 |     5290 |   109274 |     14625.8 | PushPop  | TensorRT:/transformer/layer.3/attention/Transpose_3 + /transformer/layer.3/attention/Reshape_3 + re… |
|      0.3 |         2959979 |       300 |    9866.6 |    6347.0 |     5620 |   103514 |     12664.5 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.1/ffn/lin1/M… |
|      0.3 |         2919715 |       300 |    9732.4 |    4594.0 |     3948 |    95068 |     11925.2 | PushPop  | TensorRT:PWN(/transformer/layer.2/attention/Add)                                                     |
|      0.2 |         2711490 |      3900 |     695.3 |     461.0 |      271 |   118953 |      3220.5 | StartEnd | myelin-exec:myelinTensorGetInputMemoryBatch                                                          |
|      0.2 |         2661528 |       300 |    8871.8 |    7139.0 |     6553 |   105879 |      7657.6 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to /transformer/layer.0/attention/Transpose_3 + /… |
|      0.2 |         2641445 |       300 |    8804.8 |    4162.5 |     3607 |   103114 |     12849.6 | PushPop  | myelin-exec:__myl_Move_myl102_0                                                                      |
|      0.2 |         2522381 |       300 |    8407.9 |    7734.5 |     7174 |    42159 |      2660.3 | PushPop  | TensorRT:/transformer/layer.0/attention/v_lin/MatMul + /transformer/layer.0/attention/v_lin/Add || … |
|      0.2 |         2470866 |       300 |    8236.2 |    5084.0 |     4388 |    37881 |      7282.9 | PushPop  | TensorRT:/transformer/layer.5/attention/Softmax                                                      |
|      0.2 |         2420872 |       300 |    8069.6 |    6843.0 |     6262 |   111499 |      7558.0 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.4/attention/… |
|      0.2 |         2380479 |       300 |    7934.9 |    5175.0 |     4668 |    59331 |      7996.5 | PushPop  | TensorRT:/transformer/layer.2/attention/MatMul_1                                                     |
|      0.2 |         2353648 |       300 |    7845.5 |    6742.5 |     6191 |   105102 |      6557.1 | PushPop  | TensorRT:/transformer/layer.1/attention/v_lin/MatMul + /transformer/layer.1/attention/v_lin/Add || … |
|      0.2 |         2350025 |       300 |    7833.4 |    6572.0 |     6082 |    58820 |      5544.4 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to /transformer/layer.2/attention/Transpose_3 + /… |
|      0.2 |         2341380 |       300 |    7804.6 |    5070.0 |     4628 |   141856 |     11801.9 | PushPop  | TensorRT:/transformer/layer.5/ffn/lin2/MatMul                                                        |
|      0.2 |         2332837 |       300 |    7776.1 |    4343.0 |     3656 |    55073 |      8434.9 | PushPop  | myelin-exec:__myl_AddAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl204_0                                   |
|      0.2 |         2305195 |       300 |    7684.0 |    6327.0 |     5760 |   100195 |      9165.6 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.4/ffn/lin1/M… |
|      0.2 |         2298801 |       300 |    7662.7 |    6642.0 |     6061 |    28434 |      3710.0 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to /transformer/layer.5/attention/Transpose_3 + /… |
|      0.2 |         2262060 |       300 |    7540.2 |    6397.0 |     5901 |   107589 |      6889.7 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.3/attention/… |
|      0.2 |         2242418 |       300 |    7474.7 |    4949.0 |     4458 |    87554 |      8238.9 | PushPop  | TensorRT:/transformer/layer.2/attention/Softmax                                                      |
|      0.2 |         2240879 |       300 |    7469.6 |    6387.0 |     5541 |    93398 |      6007.1 | PushPop  | TensorRT:/transformer/layer.3/attention/v_lin/MatMul + /transformer/layer.3/attention/v_lin/Add || … |
|      0.2 |         2227194 |       300 |    7424.0 |    6061.0 |     5130 |   177703 |     11402.6 | PushPop  | TensorRT:reshape_after_/transformer/layer.2/attention/k_lin/MatMul + /transformer/layer.2/attention… |
|      0.2 |         2210239 |       300 |    7367.5 |    6321.5 |     5911 |   150111 |      8643.1 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to /transformer/layer.4/attention/Transpose_3 + /… |
|      0.2 |         2207297 |       300 |    7357.7 |    5866.0 |     5120 |    77225 |      7009.0 | PushPop  | TensorRT:/transformer/layer.3/attention/out_lin/MatMul                                               |
|      0.2 |         2200543 |       300 |    7335.1 |    4413.0 |     3797 |   220293 |     15418.9 | PushPop  | myelin-exec:__myl_AddAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl157_0                                   |
|      0.2 |         2194902 |       300 |    7316.3 |    5941.0 |     5460 |   212548 |     12234.6 | PushPop  | TensorRT:/transformer/layer.3/attention/MatMul                                                       |
|      0.2 |         2096864 |       300 |    6989.5 |    5841.0 |     5199 |   144791 |      9879.9 | PushPop  | TensorRT:/transformer/layer.2/attention/out_lin/MatMul                                               |
|      0.2 |         2069413 |       300 |    6898.0 |    5190.0 |     4899 |    41167 |      5501.6 | PushPop  | TensorRT:reshape_after_/transformer/layer.4/attention/q_lin/MatMul + /transformer/layer.4/attention… |
|      0.2 |         2065464 |       300 |    6884.9 |    5916.5 |     5531 |   110006 |      6384.3 | PushPop  | TensorRT:reshape_after_/transformer/layer.3/attention/v_lin/MatMul + /transformer/layer.3/attention… |
|      0.2 |         2064695 |       300 |    6882.3 |    6116.5 |     5630 |    87835 |      5013.1 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.0/ffn/lin1/M… |
|      0.2 |         2060305 |       300 |    6867.7 |    6232.0 |     5280 |    34845 |      2316.9 | PushPop  | TensorRT:/transformer/layer.4/attention/out_lin/MatMul                                               |
|      0.2 |         2060207 |       300 |    6867.4 |    6061.0 |     5671 |    97353 |      5421.6 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.2/attention/… |
|      0.2 |         2059237 |       300 |    6864.1 |    6187.0 |     5530 |    37601 |      3351.4 | PushPop  | TensorRT:/transformer/layer.1/attention/MatMul                                                       |
|      0.2 |         2057892 |       300 |    6859.6 |    6402.0 |     6042 |    25989 |      1563.3 | PushPop  | TensorRT:/transformer/layer.0/attention/MatMul                                                       |
|      0.2 |         2051912 |       300 |    6839.7 |    6422.0 |     6011 |    15489 |      1280.3 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to /transformer/layer.1/attention/Transpose_3 + /… |
|      0.2 |         2046922 |       300 |    6823.1 |    5686.0 |     5189 |    91351 |      7413.5 | PushPop  | TensorRT:/transformer/layer.5/attention/out_lin/MatMul                                               |
|      0.2 |         2039904 |       300 |    6799.7 |    5926.5 |     5560 |   143850 |      8031.0 | PushPop  | TensorRT:reshape_after_/transformer/layer.2/attention/v_lin/MatMul + /transformer/layer.2/attention… |
|      0.2 |         2038649 |       300 |    6795.5 |    6056.5 |     5501 |    36899 |      2594.0 | PushPop  | TensorRT:/transformer/layer.2/attention/v_lin/MatMul + /transformer/layer.2/attention/v_lin/Add || … |
|      0.2 |         2038063 |       300 |    6793.5 |    6086.0 |     5360 |    70682 |      4146.3 | PushPop  | TensorRT:/transformer/layer.4/attention/MatMul                                                       |
|      0.2 |         2032302 |       300 |    6774.3 |    5250.0 |     4829 |   193303 |     12116.6 | PushPop  | TensorRT:/transformer/layer.3/ffn/lin1/MatMul + /transformer/layer.3/ffn/lin1/Add                    |
|      0.2 |         1992834 |       300 |    6642.8 |    5601.0 |     4829 |   187191 |     10572.6 | PushPop  | TensorRT:/transformer/layer.4/ffn/lin1/MatMul + /transformer/layer.4/ffn/lin1/Add                    |
|      0.2 |         1976254 |       300 |    6587.5 |    5665.5 |     5240 |   102382 |      6506.0 | PushPop  | TensorRT:/transformer/layer.5/attention/Transpose_3 + /transformer/layer.5/attention/Reshape_3 + re… |
|      0.2 |         1972227 |       300 |    6574.1 |    5530.0 |     5210 |   109856 |      8192.8 | PushPop  | TensorRT:/transformer/layer.1/attention/Transpose_3 + /transformer/layer.1/attention/Reshape_3 + re… |
|      0.2 |         1963686 |       300 |    6545.6 |    6086.5 |     5500 |    17613 |      1389.3 | PushPop  | TensorRT:/transformer/layer.5/attention/v_lin/MatMul + /transformer/layer.5/attention/v_lin/Add || … |
|      0.2 |         1961449 |       300 |    6538.2 |    5861.0 |     5400 |    43672 |      2988.1 | PushPop  | TensorRT:reshape_after_/transformer/layer.5/attention/v_lin/MatMul + /transformer/layer.5/attention… |
|      0.2 |         1955080 |       300 |    6516.9 |    5951.0 |     5550 |    36177 |      2286.2 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.3/ffn/lin1/M… |
|      0.2 |         1946525 |       300 |    6488.4 |    4439.0 |     3918 |    36438 |      5645.3 | PushPop  | TensorRT:PWN(/transformer/layer.5/attention/Add)                                                     |
|      0.2 |         1941900 |       300 |    6473.0 |    6021.0 |     5700 |    16361 |      1264.2 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.5/attention/… |
|      0.2 |         1922056 |       300 |    6406.9 |    5901.0 |     5520 |    35898 |      2059.7 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.5/ffn/lin1/M… |
|      0.2 |         1921307 |       300 |    6404.4 |    5450.5 |     5029 |    88356 |      6448.7 | PushPop  | TensorRT:reshape_after_/transformer/layer.1/attention/k_lin/MatMul + /transformer/layer.1/attention… |
|      0.2 |         1917830 |       300 |    6392.8 |    5831.0 |     5430 |    37430 |      2228.9 | PushPop  | TensorRT:Reformatting CopyNode for Input Tensor 0 to reshape_before_/transformer/layer.2/ffn/lin1/M… |
|      0.2 |         1882386 |       300 |    6274.6 |    5821.0 |     4949 |    17433 |      1546.7 | PushPop  | TensorRT:/transformer/layer.1/ffn/lin1/MatMul + /transformer/layer.1/ffn/lin1/Add                    |
|      0.2 |         1861649 |       300 |    6205.5 |    5610.0 |     5239 |    34114 |      2636.8 | PushPop  | TensorRT:/transformer/layer.2/attention/Transpose_3 + /transformer/layer.2/attention/Reshape_3 + re… |
|      0.2 |         1861591 |       300 |    6205.3 |    5690.5 |     4649 |    37250 |      2331.6 | PushPop  | TensorRT:/transformer/layer.2/ffn/lin2/MatMul                                                        |
|      0.2 |         1847502 |       300 |    6158.3 |    5270.0 |     5010 |   132368 |      7630.8 | PushPop  | TensorRT:reshape_after_/transformer/layer.4/attention/k_lin/MatMul + /transformer/layer.4/attention… |
|      0.2 |         1839700 |       300 |    6132.3 |    5560.0 |     5139 |    32281 |      2598.8 | PushPop  | TensorRT:reshape_after_/transformer/layer.5/attention/k_lin/MatMul + /transformer/layer.5/attention… |
|      0.2 |         1821039 |       300 |    6070.1 |    5285.0 |     4899 |    81402 |      4606.5 | PushPop  | TensorRT:/transformer/layer.0/ffn/lin1/MatMul + /transformer/layer.0/ffn/lin1/Add                    |
|      0.2 |         1818366 |       300 |    6061.2 |    5314.5 |     4819 |    84728 |      4743.0 | PushPop  | TensorRT:/transformer/layer.2/ffn/lin1/MatMul + /transformer/layer.2/ffn/lin1/Add                    |
|      0.2 |         1794293 |       300 |    5981.0 |    5059.5 |     4428 |   141114 |      8191.2 | PushPop  | TensorRT:PWN(/transformer/layer.5/attention/Mul)                                                     |
|      0.2 |         1781592 |       300 |    5938.6 |    5099.5 |     4588 |    27742 |      3277.9 | PushPop  | TensorRT:/transformer/layer.5/attention/MatMul_1                                                     |
|      0.2 |         1775170 |       300 |    5917.2 |    5555.5 |     5040 |    15289 |      1284.2 | PushPop  | TensorRT:PWN(/transformer/layer.0/attention/Mul)                                                     |
|      0.2 |         1734303 |       300 |    5781.0 |    5375.0 |     4589 |    19156 |      1387.0 | PushPop  | TensorRT:/transformer/layer.3/attention/Softmax                                                      |
|      0.2 |         1728510 |       300 |    5761.7 |    4889.5 |     4559 |    85550 |      5446.8 | PushPop  | TensorRT:/transformer/layer.4/attention/MatMul_1                                                     |
|      0.2 |         1726443 |       300 |    5754.8 |    4869.0 |     4529 |   141134 |      7930.0 | PushPop  | TensorRT:/transformer/layer.0/ffn/lin2/MatMul                                                        |
|      0.2 |         1693494 |       300 |    5645.0 |    3456.0 |     3086 |   134061 |     10608.1 | PushPop  | myelin-exec:__myl_AddAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl102_2                                   |
|      0.2 |         1691676 |       300 |    5638.9 |    5264.5 |     4899 |    10831 |       980.0 | PushPop  | TensorRT:/transformer/layer.3/attention/MatMul_1                                                     |
|      0.2 |         1691059 |       300 |    5636.9 |    5270.0 |     4969 |    12223 |      1048.8 | PushPop  | TensorRT:reshape_after_/transformer/layer.3/attention/k_lin/MatMul + /transformer/layer.3/attention… |
|      0.2 |         1683830 |       300 |    5612.8 |    5149.5 |     4839 |    20969 |      1359.6 | PushPop  | TensorRT:reshape_after_/transformer/layer.3/attention/q_lin/MatMul + /transformer/layer.3/attention… |
|      0.2 |         1663994 |       300 |    5546.6 |    5260.0 |     5019 |    10300 |       890.8 | PushPop  | TensorRT:reshape_after_/transformer/layer.0/attention/k_lin/MatMul + /transformer/layer.0/attention… |
|      0.2 |         1663270 |       300 |    5544.2 |    5069.0 |     4579 |    12773 |      1332.9 | PushPop  | TensorRT:/transformer/layer.1/ffn/lin2/MatMul                                                        |
|      0.2 |         1648635 |       300 |    5495.4 |    5129.5 |     4869 |    19847 |      1246.1 | PushPop  | TensorRT:reshape_after_/transformer/layer.2/attention/q_lin/MatMul + /transformer/layer.2/attention… |
|      0.2 |         1647222 |      3900 |     422.4 |     331.0 |      190 |    66765 |      1529.2 | StartEnd | myelin-exec:myelinTensorGetOutputMemoryBatch                                                         |
|      0.2 |         1641010 |       300 |    5470.0 |    5099.0 |     4519 |    14978 |      1160.2 | PushPop  | TensorRT:/transformer/layer.4/ffn/lin2/MatMul                                                        |
|      0.1 |         1639463 |       300 |    5464.9 |    4769.0 |     4348 |    83637 |      4772.1 | PushPop  | TensorRT:/transformer/layer.4/attention/Softmax                                                      |
|      0.1 |         1637572 |       300 |    5458.6 |    5129.0 |     4929 |    29756 |      1614.1 | PushPop  | TensorRT:reshape_after_/transformer/layer.0/attention/q_lin/MatMul + /transformer/layer.0/attention… |
|      0.1 |         1629993 |       300 |    5433.3 |    4950.0 |     4559 |    31419 |      1810.1 | PushPop  | TensorRT:/transformer/layer.3/ffn/lin2/MatMul                                                        |
|      0.1 |         1601905 |       300 |    5339.7 |    4909.5 |     4629 |    11622 |      1096.6 | PushPop  | TensorRT:/transformer/layer.1/attention/MatMul_1                                                     |
|      0.1 |         1592662 |       300 |    5308.9 |    4659.0 |     4198 |    46948 |      2990.7 | PushPop  | TensorRT:PWN(/transformer/layer.1/attention/Mul)                                                     |
|      0.1 |         1583102 |       300 |    5277.0 |    4909.0 |     4578 |    14237 |      1209.9 | PushPop  | TensorRT:/transformer/layer.1/attention/Softmax                                                      |
|      0.1 |         1544230 |      3900 |     396.0 |     261.0 |      180 |   101109 |      2517.9 | StartEnd | myelin-exec:myelinTensorSetOutputMemoryBatch                                                         |
|      0.1 |         1529397 |       300 |    5098.0 |    4789.0 |     3988 |    14958 |      1120.3 | PushPop  | TensorRT:PWN(PWN(PWN(PWN(PWN(PWN(PWN(PWN(/transformer/layer.5/ffn/activation/Constant_1_output_0 + … |
|      0.1 |         1506193 |       300 |    5020.6 |    4659.0 |     4168 |    13325 |      1119.2 | PushPop  | TensorRT:PWN(/transformer/layer.3/attention/Mul)                                                     |
|      0.1 |         1505949 |      3900 |     386.1 |     281.0 |      190 |    79028 |      1792.7 | StartEnd | myelin-exec:myelinTensorSetInputMemoryBatch                                                          |
|      0.1 |         1489779 |       300 |    4965.9 |    4624.0 |     4178 |    20388 |      1281.1 | PushPop  | TensorRT:PWN(/transformer/layer.4/attention/Mul)                                                     |
|      0.1 |         1481054 |       300 |    4936.8 |    4343.0 |     3947 |    82805 |      4604.4 | PushPop  | TensorRT:PWN(PWN(PWN(PWN(PWN(PWN(PWN(PWN(/transformer/layer.1/ffn/activation/Constant_1_output_0 + … |
|      0.1 |         1480244 |       300 |    4934.1 |    4298.5 |     3757 |    60624 |      3476.7 | PushPop  | myelin-exec:__myl_AddAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl21_0                                    |
|      0.1 |         1478514 |       300 |    4928.4 |    4308.0 |     3917 |    43942 |      3275.4 | PushPop  | TensorRT:PWN(/transformer/layer.4/attention/Add)                                                     |
|      0.1 |         1465508 |       300 |    4885.0 |    4153.0 |     3737 |    91391 |      5138.9 | PushPop  | myelin-exec:__myl_AddAddMeanSubMulMeanAddSqrtDivMulMulAdd_myl123_0                                   |
|      0.1 |         1460802 |       300 |    4869.3 |    4398.5 |     3928 |    39344 |      2807.3 | PushPop  | TensorRT:PWN(PWN(PWN(PWN(PWN(PWN(PWN(PWN(/transformer/layer.4/ffn/activation/Constant_1_output_0 + … |
|      0.1 |         1436889 |       300 |    4789.6 |    3872.0 |     3456 |   143479 |      8193.1 | PushPop  | myelin-exec:__myl_Move_myl34_0                                                                       |
|      0.1 |         1430619 |       300 |    4768.7 |    4077.5 |     3838 |    94057 |      5386.3 | PushPop  | TensorRT:PWN(/transformer/layer.4/attention/Mul_1)                                                   |
|      0.1 |         1429102 |       300 |    4763.7 |    4353.0 |     3928 |    35687 |      2018.3 | PushPop  | TensorRT:PWN(PWN(PWN(PWN(PWN(PWN(PWN(PWN(/transformer/layer.3/ffn/activation/Constant_1_output_0 + … |
|      0.1 |         1427436 |       300 |    4758.1 |    4218.0 |     3868 |    62106 |      3604.9 | PushPop  | TensorRT:PWN(/transformer/layer.2/attention/Mul_1)                                                   |
|      0.1 |         1414792 |       300 |    4716.0 |    4338.0 |     4018 |    19186 |      1270.5 | PushPop  | TensorRT:PWN(PWN(PWN(PWN(PWN(PWN(PWN(PWN(/transformer/layer.0/ffn/activation/Constant_1_output_0 + … |
|      0.1 |         1396370 |       300 |    4654.6 |    4198.0 |     3917 |    20598 |      1564.7 | PushPop  | TensorRT:PWN(/transformer/layer.1/attention/Add)                                                     |
|      0.1 |         1387004 |       300 |    4623.3 |    3156.0 |     2956 |    86482 |      6346.8 | PushPop  | myelin-exec:__myl_Move_myl102_1                                                                      |
